,CompanyName,CompanyNumber,RegAddress.CareOf,RegAddress.POBox,RegAddress.AddressLine1,RegAddress.AddressLine2,RegAddress.PostTown,RegAddress.County,RegAddress.Country,RegAddress.PostCode,CompanyCategory,CompanyStatus,CountryOfOrigin,DissolutionDate,IncorporationDate,Accounts.AccountRefDay,Accounts.AccountRefMonth,Accounts.NextDueDate,Accounts.LastMadeUpDate,Accounts.AccountCategory,Returns.NextDueDate,Returns.LastMadeUpDate,Mortgages.NumMortCharges,Mortgages.NumMortOutstanding,Mortgages.NumMortPartSatisfied,Mortgages.NumMortSatisfied,SICCode.SicText_1,SICCode.SicText_2,SICCode.SicText_3,SICCode.SicText_4,LimitedPartnerships.NumGenPartners,LimitedPartnerships.NumLimPartners,URI,PreviousName_1.CONDATE,PreviousName_1.CompanyName,PreviousName_2.CONDATE,PreviousName_2.CompanyName,PreviousName_3.CONDATE,PreviousName_3.CompanyName,PreviousName_4.CONDATE,PreviousName_4.CompanyName,PreviousName_5.CONDATE,PreviousName_5.CompanyName,PreviousName_6.CONDATE,PreviousName_6.CompanyName,PreviousName_7.CONDATE,PreviousName_7.CompanyName,PreviousName_8.CONDATE,PreviousName_8.CompanyName,PreviousName_9.CONDATE,PreviousName_9.CompanyName,PreviousName_10.CONDATE,PreviousName_10.CompanyName,ConfStmtNextDueDate,ConfStmtLastMadeUpDate,CompanyNumberFromURI,record_found,ConfStmtIsfDue,non_null_count
220,Airline Tickets Service Ltd,14922726,,,47 Warrington Avenue,,Slough,,England,SL1 3BG,Private Limited Company,Dissolved,England,,2023-06-08,30,6,2025-03-08,,NO ACCOUNTS FILED,2024-07-06,,0,0,0,0,79110 - Travel agency activities,,,,0,0,http://business.data.gov.uk/id//company/14922726,2023-07-25,BHAIJEE TRAVELS LIMITED,,,,,,,,,,,,,,,,,,,2024-06-21,,14922726,True,True,29
221,Arkteck Solutions Limited,14935944,,,71-75 Shelton Street,COVENT GARDEN,London,,England,WC2H 9JQ,Private Limited Company,Active,England,,2024-07-01,30,6,2026-03-31,2024-06-30,DORMANT,2024-07-12,,0,0,0,0,62020 - Information technology consultancy activities,62090 - Other information technology service activities,63990 - Other information service activities n.e.c.,,0,0,http://business.data.gov.uk/id//company/14935944,,,,,,,,,,,,,,,,,,,,,2025-06-27,2024-06-13,14935944,True,False,32
222,Airluxjets Ltd,14970234,,,128 City Road,,London,,United Kingdom,EC1V 2NX,Private Limited Company,Dissolved,United Kingdom,,2023-06-29,30,6,2025-03-29,,NO ACCOUNTS FILED,2024-07-27,,0,0,0,0,62020 - Information technology consultancy activities,,,,0,0,http://business.data.gov.uk/id//company/14970234,,,,,,,,,,,,,,,,,,,,,2024-07-12,,14970234,True,True,27
223,Airlock Uk Limited,14970896,,,8 Colenso Road,Ashton-On-Ribble,Preston,,England,PR2 2LL,Private Limited Company,Active,England,,2024-07-01,30,6,2026-03-31,2024-06-30,MICRO-ENTITY,2024-07-27,,0,0,0,0,47910 - Retail sale via mail order houses or via Internet,"47990 - Other retail sale not in stores, stalls or markets",,,0,0,http://business.data.gov.uk/id//company/14970896,,,,,,,,,,,,,,,,,,,,,2025-07-12,2024-06-28,14970896,True,False,31
224,Airlink Transfer Ltd,14971001,,,Apartment 3 Celandine Court,15 Underwood Rise,Tunbridge Wells,,England,TN2 5RY,Private Limited Company,Dissolved,England,,2023-06-29,30,6,2025-03-29,,NO ACCOUNTS FILED,2024-07-27,,0,0,0,0,49320 - Taxi operation,,,,0,0,http://business.data.gov.uk/id//company/14971001,,,,,,,,,,,,,,,,,,,,,2025-07-12,2024-06-28,14971001,True,False,29
225,Bullen Estates Management Ltd,14971223,,,12 Penrice Road,Little Plumstead,Norwich,Norfolk,United Kingdom,NR13 5FP,Private Limited Company,Active,United Kingdom,,2023-06-30,30,6,2025-06-30,,NO ACCOUNTS FILED,2024-07-28,,0,0,0,0,68320 - Management of real estate on a fee or contract basis,,,,0,0,http://business.data.gov.uk/id//company/14971223,,,,,,,,,,,,,,,,,,,,,2025-07-13,2024-06-29,14971223,True,False,30
226,Airluxe Hospitality Ltd,14973310,,,4 Grove Road,CARLTON,Nottingham,Nottinghamshire,England,NG7 1HJ,Private Limited Company,Active,England,,2023-06-30,30,6,2025-03-31,,NO ACCOUNTS FILED,2024-07-28,,0,0,0,0,55100 - Hotels and similar accommodation,,,,0,0,http://business.data.gov.uk/id//company/14973310,,,,,,,,,,,,,,,,,,,,,2025-07-13,2024-06-29,14973310,True,False,30
227,Bulldog Property Investments,14977826,,,5 Brayford Square,,London,,England,E1 0SG,Private Limited Company,Active,England,,2024-08-01,31,7,2026-04-30,2024-07-31,MICRO-ENTITY,2024-07-31,,0,0,0,0,41202 - Construction of domestic buildings,55209 - Other holiday and other collective accommodation,55900 - Other accommodation,,0,0,http://business.data.gov.uk/id//company/14977826,,,,,,,,,,,,,,,,,,,,,2025-07-16,2024-07-02,14977826,True,False,31
228,Airlink Transport Ltd,15001411,,,450 Bath Road,Longford,Heathrow,,England,UB7 0EB,Private Limited Company,Active,England,,2024-08-01,31,3,2025-12-31,2024-07-31,MICRO-ENTITY,2024-08-10,,0,0,0,0,49320 - Taxi operation,,,,0,0,http://business.data.gov.uk/id//company/15001411,,,,,,,,,,,,,,,,,,,,,2025-05-20,2024-05-06,15001411,True,False,30
229,Airline Support Limited,15070430,,,86-90 Paul Street,,London,,England,EC2A 4NE,Private Limited Company,Dissolved,England,,2023-08-14,31,8,2025-05-14,,NO ACCOUNTS FILED,2024-09-11,,0,0,0,0,79110 - Travel agency activities,,,,0,0,http://business.data.gov.uk/id//company/15070430,,,,,,,,,,,,,,,,,,,,,2024-08-27,,15070430,True,True,27
